INJECTOR,LOVEISMYSINANDTHYDEA,TBEIK LAPAV WEPWH YGQNE 
CHARADES,LOASACAREFULHOUSEWIF,NVAJA FEJGM UCHRY KGDIW 
WANTONLY,TWOLOVESIHAVEOFCOMFO,PWBEC IPQEH NOSBQ AKMSH 
TAUNTING,THOSELIPSTHATLOVESOW,MHIFX TVVLT BNMTB BXSIJ 
HUMMOCKY,POORSOULTHECENTREOFM,WIADG QEJAB QOSPD PLIRY 
WORKOUTS,MYLOVEISASAFEVERLONG,IMCYJ YBKWG RPSPX JHCEQ 
CODIFIED,OMEWHATEYESHATHLOVEP,QAHEM IXHAS VPFBL OQJHX 
SCUFFLES,CANSTTHOUOCRUELSAYIL,UCHXY ELGMQ WWZPP KSACQ 
PLATOONS,OFROMWHATPOWERHASTTH,DQRHA KUSIA OPSFU SHETA 
INHERITS,LOVEISTOOYOUNGTOKNOW,TBCIZ AMGWL VYEOM GSAVA 
LODGINGS,INLOVINGTHEETHOUKNOW,TBOUD VTYEV HKBUU MVBRC 
TOUCHIER,CUPIDLAIDBYHISBRANDA,VIJKK TEZWP SJPAF ITBXC 
STUBBORN,THELITTLELOVEGODLYIN,LAYMJ HKYWE IWFUF QDRCO 
RUMMAGED,FROMFAIRESTCREATURES,WLAYF GMUVM FORKE WLLQE 
LOCHNESS,WHENFORTYWINTERSSHAL,HVGUS SJLJK KUGIJ KDVCS 
CATERING,LOOKINTHYGLASSANDTEL,NOHOZ VGNAG EEJAN TFTXP 
PRANCING,UNTHRIFTYLOVELINESSW,JETUT QSZNC OIGTV TTJSJ 
STENOSIS,THOSEHOURSTHATWITHGE,LASFS ZWMJL XUOLE ALAKR 
SWEETPEA,THENLETNOTWINTERSRAG,LDIRE TXNGP AMGII RKNEK 
OPPOSING,LOINTHEORIENTWHENTHE,ZDXBL PRUFX TBLEU KBIWS 
SENTENCE,MUSICTOHEARWHYHEARST,EYFBG GQLWE EPLLJ ISVFM 
VERIFIES,ISITFORFEARTOWETAWID,DWZBK WVXZE IBTEI LVAZL 
EARLOBES,FORSHAMEDENYTHATTHOU,JOIDV BQWHE EJHIE LXHFF 
INDUSTRY,ASFASTASTHOUSHALTWAN,IFIUK MRQBU ROKAR JBJDH 
ENTROPIC,WHENIDOCOUNTTHECLOCK,AUXEW SWESH GKHWM EPBVB 
ENVIABLY,OTHATYOUWEREYOURSELF,SGCIT ZZSAR MMYPF PWRGN 
PROMOTER,NOTFROMTHESTARSDOIMY,CFHRF HQKWV GFOKW UDZAK 
COCKIEST,WHENICONSIDEREVERYTH,YVGXQ GGGUW FOZIN XTMVR 
VITAMINS,BUTWHEREFOREDONOTYOU,WCMWT MEWAW KEPWA GOGHU 
EDITABLE,WHOWILLBELIEVEMYVERS,AKWPI MWFIO QXVFX CZHZL 
PRESSURE,SHALLICOMPARETHEETOA,HYEDD CTSBG EJWNY ITKSS 
IMPOSTOR,DEVOURINGTIMEBLUNTTH,LQKCM KWEOF XAWUZ LVFIV 
DOWNSIZE,AWOMANSFACEWITHNATUR,DKKZS VRJDQ AJABG RDHQE 
COMPRESS,SOISITNOTWITHMEASWIT,UCUHZ XFGVK UIYQW SUKUI 
SMOTHERS,MYGLASSSHALLNOTPERSU,EKUEH WJKZM ZEUSK HWDGN 
TOXAEMIA,ASANUNPERFECTACTORON,TGXNY ZXEKT BCXMK THFLN 
GROOMERS,MINEEYEHATHPLAYDTHEP,SZBSQ CVZGK VDXEP VZYSD 
TESSERAL,LETTHOSEWHOAREINFAVO,EILLL FSPPL GSVVI YYENG 
HOMESICK,LORDOFMYLOVETOWHOMIN,SCDHG NOISC HILWY RVAUR 
PROVOKES,WEARYWITHTOILIHASTEM,LVOMM GMLWK CDZSL SHKSH 
CATHODES,HOWCANITHENRETURNINH,JOPJO QMLJE GYSWY JPIGO 
BALLPENS,WHENINDISGRACEWITHFO,XHPYX RQATG CLRIJ AUHQZ 
WOODPILE,WHENTOTHESESSIONSOFS,SVSQI WELAG SVHQZ ROCTV 
TOGETHER,THYBOSOMISENDEAREDWI,MVEFH ZSDBG KRWLE IXRCM 
MARZIPAN,IFTHOUSURVIVEMYWELLC,UFKGW JSHDV ZUMBY JQLCB 
COLLATES,FULLMANYAGLORIOUSMOR,HIWWM TRQCU WZRBS MUAZC 
CARBINES,WHYDIDSTTHOUPROMISES,YHPEQ QWLVH FVXES EKSVT 
COCOONED,NOMOREBEGRIEVEDATTHA,PCOCF RFHIF KSJRH DVHJO 
CASHMERE,LETMECONFESSTHATWETW,NELTQ GFRHE KZFLR XYELD 
ETERNITY,ASADECREPITFATHERTAK,ELEUR KKCTB XWNBA CVMEB 
BECALMED,HOWCANMYMUSEWANTSUBJ,ISYCL ZQBNY UEHMR WTYDJ 
WINDOWED,OHOWTHYWORTHWITHMANN,KPBZH DCZKZ GKKEX KIIAQ 
PACIFIER,TAKEALLMYLOVESMYLOVE,IAMMF TPDNL QDJAQ PAOXM 
EDITIONS,THOSEPETTYWRONGSTHAT,XKWLM DRLXB EKWBT KXKIM 
ABDUCTOR,THATTHOUHASTHERITISN,TIDNV ACLHB VNJXF ZTJVH 
VIADUCTS,WHENMOSTIWINKTHENDOM,RPEQG QLLDE IQEVA WILOP 
CROWNING,IFTHEDULLSUBSTANCEOF,KWHDR LHRNJ IXFBN TEVCB 
EVOLVING,THEOTHERTWOSLIGHTAIR,XCSZO PRXXR CDGQT NXVWC 
PRUNINGS,MINEEYEANDHEARTAREAT,BZHRM LKSCU BRIEZ SGVUG 
STORMIER,BETWIXTMINEEYEANDHEA,TXHNU FXDAG SVKME EVASR 
FOOTSTEP,HOWCAREFULWASIWHENIT,MCKVS KIUZZ KTKBA WJBWM 
CIRCLETS,AGAINSTTHATTIMEIFEVE,CORKY WMLJI KVTQX AHMMG 
DEADBEAT,HOWHEAVYDOIJOURNEYON,KSWKF EVRGS IMPYR GHCOQ 
HAYSTACK,THUSCANMYLOVEEXCUSET,AHSKV APWFL MNXEZ MBSCL 
LIBRATED,SOAMIASTHERICHWHOSEB,DWBDI TWWSM SZCAA KZAFS 
SPLASHED,WHATISYOURSUBSTANCEW,OWLTA ZCRMG DUTZX DFRPW 
RESOUNDS,OHOWMUCHMOREDOTHBEAU,FLGKG HFZDS JSXBW ZSISI 
INWARDLY,NOTMARBLENORTHEGILDE,VBPMR UMJMA KRKKP EQYZE 
APPOINTS,SWEETLOVERENEWTHYFOR,SLTSB YHNEG TBMJM ZYUDF 
PREDATED,BEINGYOURSLAVEWHATSH,QVMQG RSXGJ PDVXA KPKWK 
DAYBREAK,THATGODFORBIDTHATMAD,WHYUX SDPRR ZJUXH KWMYE 
BRAIDING,IFTHEREBENOTHINGNEWB,JWTPH ZRHFE OBKQA MOVWJ 
TRAINING,LIKEASTHEWAVESMAKETO,EZKMN AGNXN ADRAZ GDVTW 
BEDDINGS,ISITTHYWILLTHYIMAGES,JWLWB UEOJP OWPLO EBKHV 
MINUTIAE,SINOFSELFLOVEPOSSESS,EQAIY AEPRT BPXXO WEMFM 
MAYORESS,AGAINSTMYLOVESHALLBE,MGYWE WLEKL MJVWZ SXLZS 
CASELOAD,WHENIHAVESEENBYTIMES,YHWRT VAYGS WIYPY WKMWW 
SENTIENT,SINCEBRASSNORSTONENO,KMAVM FETKW AHZWG HFIAH 
STIFLING,TIREDWITHALLTHESEFOR,LBZJO EVZZT TQEPR YWYWW 
CRITIQUE,AHWHEREFOREWITHINFEC,CYEAM HYJQI MPQJB MPWMV 
SPITTING,THUSISHISCHEEKTHEMAP,LWCLB AUOKR PXXSG NWBII 
MOTILITY,THOSEPARTSOFTHEETHAT,FVHAP XTPFG HNEPX CFVTB 
TESTIEST,THATTHOUARTBLAMEDSHA,MLSMB LGNTV LUTEE XWWZT 
CONVERSE,NOLONGERMOURNFORMEWH,PCYJR XWVOC HMRWG VOSJC 
FRUITING,OLESTTHEWORLDSHOULDT,TCYAM BUKBF LTWAU UZCXB 
REGIMENT,THATTIMEOFYEARTHOUMA,KLGBF MZXFJ EMMVG AFYSI 
DIATOMIC,BUTBECONTENTEDWHENTH,ECTUS OWPWM NMSPE JHVTA 
THIEVERY,SOAREYOUTOMYTHOUGHTS,LVIVZ CFSMV UCOLF SZOBW 
CHURCHES,WHYISMYVERSESOBARREN,YOSZU TCNGY MVUVF STYYE 
TRENCHER,THYGLASSWILLSHOWTHEE,MYCTN HWJPZ PYUOS NMYIR 
ALARMISM,SOOFTHAVEIINVOKEDTHE,SZOWF PSHET IEHWC QDEHV 
HEARINGS,WHILSTIALONEDIDCALLU,DLICA GOSSS NVLVJ UHPLL 
REQUIRED,OHOWIFAINTWHENIOFYOU,FLEQQ WELEX MBMEM RWCEO 
FAITHFUL,ORISHALLLIVEYOUREPIT,TRQLO FFWQI DXFTO CJPQM 
BODILESS,IGRANTTHOUWERTNOTMAR,JUUIY XLZPI ZMCXF GUADZ 
OUTGUESS,INEVERSAWTHATYOUDIDP,WHXBY VKSKN AGNCG MRCWV 
RELIGION,WHOISITTHATSAYSMOSTW,NLZQY QHGYE EAGGG ZFWEE 
SLASHING,MYTONGUETIEDMUSEINMA,EJTGU OHKLT EVTCF KAYMS 
TALLNESS,WASITTHEPROUDFULLSAI,PADTG XZWIR ZFQJM DESLT 
IMMODEST,FAREWELLTHOUARTTOODE,NMDSZ IDEBT AIDVL MWAPS 
MOBILITY,WHENTHOUSHALTBEDISPO,IVFVE PHSEV BTEJX BUGQW 
DECLINES,SAYTHATTHOUDIDSTFORS,VEAEP NXLKS WOQQW LISTD 
DIRENESS,THENHATEMEWHENTHOUWI,WPVRU ELWPM NLRRL ZRCNM 
MOTLIEST,SOMEGLORYINTHEIRBIRT,ECFPO PGKKW GEPIA KNWKE 
COTTAGES,BUTDOTHYWORSTTOSTEAL,DIMWO ZLQYC KLTZS KVSTE 
LASSOING,SOSHALLILIVESUPPOSIN,DOKZO TYOWI NWGCC VZSAF 
WARDROBE,THEYTHATHAVEPOWERTOH,PHVBK VBXDA MHGCX INTFK 
LAZINESS,HOWSWEETANDLOVELYDOS,SOVAJ IWLLN CTBZW DJDNA 
DEXTROUS,SOMESAYTHYFAULTISYOU,VSJXJ OSLKC CTLZN AVCLN 
COLLAGES,HOWLIKEAWINTERHATHMY,JCHWI QISYW YEEXL SVVXJ 
MISGUIDE,FROMYOUHAVEIBEENABSE,RZGSS WXLMD WOVMH RMJKK 
AMICABLE,THEFORWARDVIOLETTHUS,TTMHO SHERP DKOMP XTTCU 
SCREECHY,WHEREARTTHOUMUSETHAT,OJVVI CYRLJ FYQWZ CLJRX 
HERITORS,OTRUANTMUSEWHATSHALL,VXICT BKEBW VEAOK KOECT 
ABSORBER,MYLOVEISSTRENGTHENDT,MZDCM FMJSU JSEHX YEOVH 
WRATHFUL,ALACKWHATPOVERTYMYMU,WCAVR BBLPG OOLWN JIPMN 
MANACLES,TOMEFAIRFRIENDYOUNEV,FOZEH LMJRR VEPOC GGNRV 
JUNKYARD,LETNOTMYLOVEBECALLDI,UYGXM TDBUI IOZET DUFQS 
PROSAIST,WHENINTHECHRONICLEOF,LYSFI VLATT VJOVA VAVCX 
AGITATOR,WHENINTHECHRONICLEOF,WNMGI GHYEI PKOGW TLKWY 
SPECIALS,NOTMINEOWNFEARSNORTH,FDXOQ NPGOC JGIRD FGGXJ 
SHEETING,WHATSINTHEBRAINTHATI,OOEXL QAZZL FVTQA ZZHXM 
STARTERS,ONEVERSAYTHATIWASFAL,GGEMX VJSQM HRMMN SKYAC 
ASSASSIN,ALASTISTRUEIHAVEGONE,ADSSL AAGRM WIZSD RGGFE 
NOBLEMEN,OFORMYSAKEDOYOUWITHF,BTPCQ KWNXS EZCAY JVHIQ 
FORMATED,YOURLOVEANDPITYDOTHT,DCLDL HZHFB UBIMC GTHYF 
SKYDIVED,SINCEILEFTYOUMINEEYE,KSLFM DPHXD WRCHM QWOWH 
REPLYING,ORWHETHERDOTHMYMINDB,FVLSC BUKIH DEFUL SZRSM 
TRIGRAMS,THOSELINESTHATIBEFOR,MYWYV LUFXJ BNRTU TXWWX 
RETAILER,LETMENOTTOTHEMARRIAG,CIMMM YSKKS MHMXE IIMTG 
HAULAGES,ACCUSEMETHUSTHATIHAV,HCWFS KQWAH ODTNE LPHUG 
STUBBLES,LIKEASTOMAKEOURAPPET,DBEFB DXGET EFPFV SHIYU 
ULCEROUS,WHATPOTIONSHAVEIDRUN,QSCXG CNAIY ULRJY AXCWR 
TACKLING,THATYOUWEREONCEUNKIN,MHCDJ WHCXR GYYKR AGKKX 
HEADGEAR,TISBETTERTOBEVILETHA,AMSEK XTVYX OEKZI CLXHD 
BLACKOUT,THYGIFTTHYTABLESAREW,USYIS TNMIJ TCLZY LBCEY 
AUTOBAHN,NOTIMETHOUSHALTNOTBO,NIMWN EAUOO LVBLA AONUC 
DROWSILY,IFMYDEARLOVEWEREBUTT,LWAUV MLPOF JAOMC CELHP 
DEMURELY,WERETAUGHTTOMEIBORET,ZIDYK EFEKX FIDIT ZRVQN 
CINNAMON,OTHOUMYLOVELYBOYWHOI,QBUBU YMYQD RYYNC LYPBV 
GRAPHITE,INTHEOLDAGEBLACKWASN,OETWL WEHGX EQSIV OCRSC 
RAPESEED,HOWOFTWHENTHOUMYMUSI,YOLSX XAKVN ILGYQ BDUHM 
HABITUAL,THEEXPENSEOFSPIRITIN,AHFMQ JEYZE PNLJI CPTJV 
UNHARMED,MYMISTRESSEYESARENOT,GLTIJ FVHMF LYVEE UYAVT 
CLOCKING,THOUARTASTYRANNOUSSO,VSCWK ZGGUE MTKVA UWDGQ 
WELLBORN,THINEEYESILOVEANDTHE,PLTYF SPROM WZWSR AZXSP 
RESPONDS,BESHREWTHATHEARTTHAT,SIKWF RZLYE LWSNU LKLSI 
DEMOCRAT,SONOWIHAVECONFESSDTH,VSZCY ZHTYI OCPWE LVHFV 
CHEAPISH,WHOEVERHATHHERWISHTH,YOSEK MJOCA LHTZO PUOXH 
INVESTED,IFTHYSOULCHEQUETHEET,QSOLQ LSXTP CIINI WPRZX 
TRAITORS,THOUBLINDFOOLLOVEWHA,MYOCU ZZFWW OWEZF NXNHI 
EXHIBITS,WHENMYLOVESWEARSTHAT,AELVN GEGZB ZEFIK KXEHB 
FEASIBLY,OCALLNOTMETOJUSTIFYT,TGADT OZRRI TGRVD RNJYL 
KNICKERS,BEWISEASTHOUARTCRUEL,LREKC IRKDU WWKVK UBHMN 
CUSHIONS,INFAITHIDONOTLOVETHE,KHXHQ HUAFI FVBZB NGNZL 
BINOMIAL,LOVEISMYSINANDTHYDEA,MWISU AMJTQ AOZLT SZLRO 
TAILWIND,LOASACAREFULHOUSEWIF,EOIDW KNUXF CWDWH VXWQQ 
SPANGLES,TWOLOVESIHAVEOFCOMFO,LLOYU GIKAW AIKZJ UGBFB 
UMBRELLA,THOSELIPSTHATLOVESOW,NTPJI WTPMF IRXWZ VYEPN 
RETIRING,POORSOULTHECENTREOFM,GSHZJ WHRKL XKVVG XVSYU 
GOVERNED,MYLOVEISASAFEVERLONG,SMGSM RMVGG VJVII URCIK 
LUNATICS,OMEWHATEYESHATHLOVEP,ZGRWA IVWJY FHTBJ DZPRP 
DIGRAPHS,CANSTTHOUOCRUELSAYIL,FITJT IOGXW IIUTS KDGOC 
QUILTING,OFROMWHATPOWERHASTTH,EZZZF EUGJJ WHXZU GINBS 
THEORISE,LOVEISTOOYOUNGTOKNOW,EVZSZ ALSHF SIEOL SDUSK 
EQUALISE,INLOVINGTHEETHOUKNOW,MDFOG QFKXX YEEPG YODIW 
AMICABLY,CUPIDLAIDBYHISBRANDA,CGXKD MLGDN GJITM PAZLC 
MOUNTING,THELITTLELOVEGODLYIN,FVYYB BGRQZ IIXOB JXMCA 
SYNONYMS,FROMFAIRESTCREATURES,XPBAS YUJWQ GQECM LMPRG 
UNSHADED,WHENFORTYWINTERSSHAL,QUWUF RVWSJ AUTHV VMUSS 
CLAYMORE,LOOKINTHYGLASSANDTEL,NZOIU BKLAR LYEGR RFEEJ 
COURIERS,UNTHRIFTYLOVELINESSW,WBNYZ MWLAZ IMMPZ FGGMN 
MARKEDLY,THOSEHOURSTHATWITHGE,FHFCI KZSDS KREWH GFHXO 
SILENCER,THENLETNOTWINTERSRAG,LPPRY GXEGB HMAVI IKZLK 
PREFIXED,LOINTHEORIENTWHENTHE,AFMSB EIRGZ ISBTL HCKLJ 
RESOLUTE,MUSICTOHEARWHYHEARST,DYKWN NHLVE JKSSA IRVKH 
FORTRESS,ISITFORFEARTOWETAWID,NGZMW SJXJO IMFAW LFKZW 
SPILLAGE,FORSHAMEDENYTHATTHOU,XDZDS ASIVT VJEHG XLWWF 
COUNCILS,ASFASTASTHOUSHALTWAN,CGZNU BLKVV IHUPL DVKUA 
TROTTERS,WHENIDOCOUNTTHECLOCK,PYSGB HFUHL BMMLV UEFQD 
BERLINER,OTHATYOUWEREYOURSELF,PXYLB LSLXI IPGBY ITICQ 
SLACKING,NOTFROMTHESTARSDOIMY,FZTHB WZZZP SVKZF JGTMA 
SEAGULLS,WHENICONSIDEREVERYTH,OLETC NZFKM DKLPG WJCTN 
ALLERGEN,BUTWHEREFOREDONOTYOU,BFEAY KVRFZ CIUUR BTJZY 
FETTERED,WHOWILLBELIEVEMYVERS,BLHPM CPEJP BXZVQ BAIKL 
FOOTBATH,SHALLICOMPARETHEETOA,XVOEM IVVRD OKFTA LJHCT 
CAUSEWAY,DEVOURINGTIMEBLUNTTH,FEPGY NILIT CEIXL SPTNZ 
GOURMETS,AWOMANSFACEWITHNATUR,GKIDM RLXGQ YNUXA FGHOI 
CALENDAR,SOISITNOTWITHMEASWIT,UOTWV WNFVW TXUPE RUWTX 
DREDGING,MYGLASSSHALLNOTPERSU,PPKOG AFYKR POTWG VHIWX 
SKINCARE,ASANUNPERFECTACTORON,SCIAW NGIJP MPVAT XGBWA 
POLISHES,MINEEYEHATHPLAYDTHEP,BWYMW FIZPH SXDHC VIVPX 
FANTASIA,LETTHOSEWHOAREINFAVO,QEGMH GAEBH BTRWQ NKAIH 
REMOUNTS,LORDOFMYLOVETOWHOMIN,CSDRI SFQCS HSNBP ZFQUB 
ARKANSAS,WEARYWITHTOILIHASTEM,WVKRL OILHK YIYAH SSKOM 
TROUBLED,HOWCANITHENRETURNINH,AFKWB YMWAV BLFEY UGZBB 
DEPICTED,WHENINDISGRACEWITHFO,ZLTVK GHLVK GIEXA LWLUW 
PARENTED,WHENTOTHESESSIONSOFS,LHVRG HXKTS VWFBS QHOWW 
DIALLING,THYBOSOMISENDEAREDWI,WPYMZ ABSLA EYOMN XHLWT 
TERRAPIN,IFTHOUSURVIVEMYWELLC,BJKYO JAHKZ ZMEBG JXPCT 
VANISHED,FULLMANYAGLORIOUSMOR,AUYTE HRBVG YWJPS XNMBZ 
MAMMALIA,WHYDIDSTTHOUPROMISES,IHKPI OATFH AGPCW MUSQE 
FITTINGS,NOMOREBEGRIEVEDATTHA,SWFHZ RHWLZ BXDRJ SYBAT 
UNCOMBED,LETMECONFESSTHATWETW,FRVAQ DSQZR UGFIE WQRVK 
EVICTION,ASADECREPITFATHERTAK,ENIFX KFRTD BHTBV RVOIM 
ACCEDING,HOWCANMYMUSEWANTSUBJ,HQYGD VZEMW UIZIA ZSWDN 
SLEEPERS,OHOWTHYWORTHWITHMANN,GSSAI LPOGC XLLMK ZELRR 
AMPUTEES,TAKEALLMYLOVESMYLOVE,TMZYT PPEYX DPXWQ QLAKY 
EFFERENT,THOSEPETTYWRONGSTHAT,XMTWV TRMXD BVFRT LXMFX 
DIPLOMAT,THATTHOUHASTHERITISN,WPPEH TONKI HEVQR BWQHY 
AMORTISE,WHENMOSTIWINKTHENDOM,WTSEF WKXII WEDBZ INPCD 
FACELIFT,IFTHEDULLSUBSTANCEOF,NFVLP LZEQS WFDBF GHEQJ 
PROTOCOL,THEOTHERTWOSLIGHTAIR,IYSHH JSCIN CLZKU SIRWK 
TRESTLES,MINEEYEANDHEARTAREAT,FZRWX JISGU LWTCX SKVEL 
RAPPORTS,BETWIXTMINEEYEANDHEA,SEILW OMEZN TTMVT FUHTP 
BITTERLY,HOWCAREFULWASIWHENIT,IWPVE IPDVT PTWZH FFVBM 
GIMMICKS,AGAINSTTHATTIMEIFEVE,GOMUV UDLNI FFQOO ALMHQ 
CATWALKS,HOWHEAVYDOIJOURNEYON,JOPDE LFQFO BFOFB FGYHJ 
DRUDGERY,THUSCANMYLOVEEXCUSET,WYOVI EEKBC IYKIO AXJYW 
PORTENTS,SOAMIASTHERICHWHOSEB,HCRFM NLLWS IBGUP ZDGVU 
DULLNESS,WHATISYOURSUBSTANCEW,ZBLEV WQGXL DFOWL SQWPH 
CONSPIRE,OHOWMUCHMOREDOTHBEAU,QVBOB CTLOC EWSWK LDSNM 
ACTIVATE,NOTMARBLENORTHEGILDE,NQMUV RUPEP HZOHX KINWM 
CLEANSER,SWEETLOVERENEWTHYFOR,UHIEG DSMGC INROX YAQSR 
FANCIEST,BEINGYOURSLAVEWHATSH,GEVPO CGNWS YCDIO AFTFJ 
VALIDATE,THATGODFORBIDTHATMAD,OHLBJ OWJJR MQGTA EOMLL 
TROPHIES,IFTHEREBENOTHINGNEWB,BWHWL ZITXE CIOQR YGVKQ 
UNFREEZE,LIKEASTHEWAVESMAKETO,FVPVE WSLYJ FMIWL EERYF 
BOUDOIRS,ISITTHYWILLTHYIMAGES,JGCWH PPOJZ FWVGZ EBUYV 
NORTHMEN,SINOFSELFLOVEPOSSESS,FWEHM EIYSZ FOLBS FFSJL 
ADROITLY,AGAINSTMYLOVESHALLBE,AJRWV LEKYO FJMLS YLOSS 
WHEEDLED,WHENIHAVESEENBYTIMES,SOIRL SEYAZ IIQMC WETIW 
BOYISHLY,SINCEBRASSNORSTONENO,TWLKW ICYTG LWJZE MOSLW 
GRUMBLED,TIREDWITHALLTHESEFOR,ZZLQE HMWNR FXUSI VKWID 
PERFUMES,AHWHEREFOREWITHINFEC,PLNMY DIXDV VBCFL ACJVH 
LOITERER,THUSISHISCHEEKTHEMAP,EVCLM JLZDQ PXIBX YPAII 
CELLULAR,THOSEPARTSOFTHEETHAT,VLZDY AAIVW ZQNSE VVLLE 
WALKOVER,THATTHOUARTBLAMEDSHA,PHLDH CSLWR ELZVQ VZSSK 
PATCHILY,NOLONGERMOURNFORMEWH,COEQU OPPBO NTUNZ PBEPJ 
CRUISERS,OLESTTHEWORLDSHOULDT,QCYAL XYWYF LTVWY GWCXB 
ENTIRETY,THATTIMEOFYEARTHOUMA,XUTBK MFCSS RMRVM FSHFI 
MISERIES,BUTBECONTENTEDWHENTH,NCLFV KSFFM FXVLA ZQVLL 
AVIONICS,SOAREYOUTOMYTHOUGHTS,SJIFR GQMTJ UMGPQ MGCBG 
SWEETISH,WHYISMYVERSESOBARREN,ODCML UQCWN WILWT HJNIR 
RAMBLERS,THYGLASSWILLSHOWTHEE,KHKHW EJKNI XMDLF OKHQF 
RANKINGS,SOOFTHAVEIINVOKEDTHE,JOBPB UGNVI VXDBQ WUTUO 
LENIENCY,WHILSTIALONEDIDCALLU,HLVTW GKYWS AMHVF ALPYC 
ABRUPTLY,OHOWIFAINTWHENIOFYOU,OIFQX YLGNU NBTGT MFZFO 
GLOOMILY,ORISHALLLIVEYOUREPIT,UCWGT IWJRT JSKWF PKAWH 
DAIRYMEN,IGRANTTHOUWERTNOTMAR,LGZRL FXURU EVPFR BWMII 
INTERNED,INEVERSAWTHATYOUDIDP,QAXZV EWDEG AEKLS XLVWT 
LOATHING,WHOISITTHATSAYSMOSTW,HVOBZ QGZSO TLHGF SZGTP 
STRIPPED,MYTONGUETIEDMUSEINMA,ERKWC VYHLB VLBJW HAGDI 
RECOPIED,WASITTHEPROUDFULLSAI,NEUWI BLHGV QISNY OCWCW 
TIMELESS,FAREWELLTHOUARTTOODE,YIDIH IDDMP AYLVL LHWPI 
CHOOSING,WHENTHOUSHALTBEDISPO,YOSBL PBAUO OZLJR JKZDC 
WOBBLING,SAYTHATTHOUDIDSTFORS,OOZUS IGZDC VETLF ZBCST 
RENEWING,THENHATEMEWHENTHOUWI,KLRRD IGKDI JLAVG NFYJM 
ENRAGING,SOMEGLORYINTHEIRBIRT,WBDEM TBXCV ETNMV XFVIT 
EXISTING,BUTDOTHYWORSTTOSTEAL,FRBVH BUEAL ZKMBB YXBID 
VIDEOING,SOSHALLILIVESUPPOSIN,NWVLO TYOGQ YIGCC VJALR 
TRACTION,THEYTHATHAVEPOWERTOH,MYEAM POGAR VGIWK RKKOJ 
WAVERING,HOWSWEETANDLOVELYDOS,DORWN MRZWN YPFDR RUDJW 
TREASURE,SOMESAYTHYFAULTISYOU,LFQEK UPXAP JAMFK MLPSU 
WINDBAGS,HOWLIKEAWINTERHATHMY,DWJOJ KKSSQ AWFRN SPPZB 
CARELESS,FROMYOUHAVEIBEENABSE,HRFQJ SMZCV VMMIW FCBJI 
JUICIEST,THEFORWARDVIOLETTHUS,CBMHW VOTAX DKWPW MCBCU 
FLUENTLY,WHEREARTTHOUMUSETHAT,BSYVR TCRYS IYZND CYSUX 
PROPOUND,OTRUANTMUSEWHATSHALL,DKFJO HGPJJ SLVUG VWRZA 
CONTESTS,MYLOVEISSTRENGTHENDT,OMYHZ WBKUH EXRYM ZGBQM 
CUTPRICE,ALACKWHATPOVERTYMYMU,CFTRB EJEVJ HKVZV COSFJ 
CONCLUDE,TOMEFAIRFRIENDYOUNEV,VCZGQ ULVHF VGYXB SWBRX 
MASSACRE,LETNOTMYLOVEBECALLDI,XELFO VDCXO NWBGT EXLVA 
COMEBACK,WHENINTHECHRONICLEOF,YVQRJ NVRGQ TVPNK MNSAJ 
EVILDOER,WHENINTHECHRONICLEOF,ACMYL BXYIX PCRBM TPZWQ 
MUNCHING,NOTMINEOWNFEARSNORTH,ZIGOP VRUIH SGHZF TALGJ 
PANCAKES,WHATSINTHEBRAINTHATI,LHNVS SRLWE OTASR LWAGK 
STONIEST,ONEVERSAYTHATIWASFAL,GGSIM VKTQM VNBMO TKYOY 
SHEARERS,ALASTISTRUEIHAVEGONE,SSESK MJLJB IIYEM WYVRE 
OUTSIDER,OFORMYSAKEDOYOUWITHF,CZHJU BWRYY WGGRY NWNAX 
NICOTINE,YOURLOVEANDPITYDOTHT,LWWFE WIINV FDBBL HBBJH 
LECTURER,SINCEILEFTYOUMINEEYE,DMPVY ZPVQX AHODM EPIAX 
CORRUPTS,ORWHETHERDOTHMYMINDB,QFNYY IAWTR FKBBR EKBUS 
KILOTONS,THOSELINESTHATIBEFOR,DPZGX ZVFOA EVTHV TONZF 
SHADINGS,LETMENOTTOTHEMARRIAG,DLTPM AULLV TKMZG JJPAJ 
MANEUVER,ACCUSEMETHUSTHATIHAV,MCPYM ZQVFH HWNCE KUHNZ 
IMPARTED,LIKEASTOMAKEOURAPPET,TUZER LXRUM ZEFNV DXBTT 
POLYGONS,WHATPOTIONSHAVEIDRUN,LVLRV CGADB DFGJR ASFFL 
DOUBTERS,THATYOUWEREONCEUNKIN,WVUUR SLOHF YPGGV MQYCO 
MURMURER,TISBETTERTOBEVILETHA,FCJNY KXVDN FNYMM CQNYM 
SOBBINGS,THYGIFTTHYTABLESAREW,LVZHQ SZLZM UBJYK KSFFX 
MIDSHIPS,NOTIMETHOUSHALTNOTBO,ZWWAT MIZAC VZHTI FABEG 
WRANGLED,IFMYDEARLOVEWEREBUTT,EWMLJ PEUHF VRCPV HXLTG 
FLEECING,WERETAUGHTTOMEIBORET,BPVIV IHMME XSOMV HTCIX 
TIGHTENS,OTHOUMYLOVELYBOYWHOI,HBNVN QLDHD KSRFB QPPUP 
FOREHAND,INTHEOLDAGEBLACKWASN,NBKLL OYGFU VFSAP NBOJR 
